,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
0,10420,Akron OH,679161,206317,660213,234035,657463,249191,694827,274189,703200,285003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,6,10,15,24,25,40,47,58,78,98,126,150,169,188,214,230,258,268,283,300,319,337,359,377,396,406,419,452,472,489,508,526,550,571,612,653,673,689,705,721,768,814,844,876,922,948,967,1005,262,265,272,274,276,280,41.0798,-81.5219
1,11740,Ashland OH,43181,13290,46048,15873,47507,17101,52523,19524,53139,20196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,9,9,9,12,12,12,14,14,15,40.8669,-82.3157
2,11780,Ashtabula OH,97582,29758,103454,35614,99821,36760,102727,39398,101497,39363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,5,6,6,6,6,6,8,9,11,12,15,18,20,19,19,24,26,31,32,36,45,54,64,66,68,70,80,98,103,107,110,110,113,116,126,136,142,146,149,160,165,169,172,190,192,193,41.8806,-80.7984
3,11900,Athens OH,54742,15184,56237,18302,59548,20139,62223,22500,64757,23578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,6,6,39.3269,-82.0987
4,13340,Bellefontaine OH,34938,11504,39019,14216,42311,15953,46005,17956,45858,18111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,5,5,5,5,5,7,7,7,8,8,8,8,12,13,13,13,13,14,15,16,18,18,18,18,18,18,18,19,19,19,19,19,23,23,23,23,23,40.3627,-83.763
5,15340,Bucyrus OH,50363,15998,47741,17442,47870,18383,46966,18957,43784,18099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,5,5,6,7,7,9,9,9,9,12,13,13,16,17,19,23,26,28,36,36,36,36,36,37,38,39,39,41,41,45,45,48,50,52,56,57,60,65,69,71,72,77,40.8054,-82.9718
6,15740,Cambridge OH,37323,11821,42754,15005,39023,14893,40792,16094,40087,16210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,5,5,6,6,7,10,10,10,10,11,12,12,15,15,15,15,15,15,15,15,15,15,16,19,19,19,20,20,20,21,21,21,40.0221,-81.5868
7,15940,Canton-Massillon OH,393783,121250,404413,142675,394106,149241,406932,159437,404422,162474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,5,6,8,11,12,16,15,19,25,29,33,49,50,57,72,84,100,103,118,119,123,129,135,144,167,181,185,190,218,225,236,239,253,267,284,308,313,322,329,331,343,352,368,384,400,419,426,435,21,21,23,23,23,24,40.8076,-81.3678
8,16380,Celina OH,35119,9792,38213,12127,39443,13398,40924,14756,40814,15532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,4,5,6,6,7,8,8,11,12,12,12,13,13,13,13,13,13,13,13,13,13,14,16,16,18,18,18,18,18,21,26,28,29,33,38,42,42,62,66,67,84,40.5551,-84.5628
9,17060,Chillicothe OH,60992,18279,64839,21982,69329,24325,73346,27136,78064,28919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,6,9,10,10,12,13,17,19,20,21,26,29,29,29,29,30,30,30,35,35,35,36,36,37,39,39,40,41,41,42,42,44,48,48,51,53,39.3393,-82.9937
